331;20303033;ECOFISIOLOGIA VEGETAL
332;20304005;TAXONOMIA VEGETAL
333;20304013;TAXONOMIA DE CRIPTÓGAMOS
334;20304021;TAXONOMIA DE FANEROGAMOS
335;20305001;FITOGEOGRAFIA
336;20306008;BOTÂNICA APLICADA
337;20400004;ZOOLOGIA
338;20401000;PALEOZOOLOGIA
339;20402007;MORFOLOGIA DOS GRUPOS RECENTES
340;20403003;FISIOLOGIA DOS GRUPOS RECENTES
341;20404000;COMPORTAMENTO ANIMAL
342;20405006;TAXONOMIA DOS GRUPOS RECENTES
343;20406002;ZOOLOGIA APLICADA
344;20406010;CONSERVAÇÃO DAS ESPÉCIES ANIMAIS
345;20406029;UTILIZAÇÃO DOS ANIMAIS
346;20406037;CONTROLE POPULACIONAL DE ANIMAIS
347;30000009;ENGENHARIAS
348;30100003;ENGENHARIA CIVIL
349;30101000;CONSTRUÇÃO CIVIL
350;30101018;MATERIAIS E COMPONENTES DE CONSTRUÇÃO
351;30101026;PROCESSOS CONSTRUTIVOS
352;30101034;INSTALAÇÕES PREDIAIS
353;30102006;ESTRUTURAS
354;30102014;ESTRUTURAS DE CONCRETO
355;30102022;ESTRUTURAS DE MADEIRAS
356;30102030;ESTRUTURAS METÁLICAS
357;30102049;MECÂNICA DAS ESTRUTURAS
358;30103002;GEOTÉCNICA
359;30103010;FUNDAÇÕES E ESCAVAÇÕES
360;30103029;MECÂNICAS DAS ROCHAS
361;30103037;MECÂNICA DOS SOLOS
362;30103045;OBRAS DE TERRA E ENROCAMENTO
363;30103053;PAVIMENTOS
364;30104009;ENGENHARIA HIDRÁULICA
365;30104017;HIDRÁULICA
366;30104025;HIDROLOGIA
367;30105005;INFRA-ESTRUTURA DE TRANSPORTES
368;30105013;AEROPORTOSPROJETO E CONSTRUÇÃO
369;30105021;FERROVIASPROJETOS E CONSTRUÇÃO
370;30105030;PORTOS E VIAS NAVEGÁVEISPROJETO E CONSTRUÇÃO
371;30105048;RODOVIASPROJETO E CONSTRUÇÃO
372;30700000;ENGENHARIA SANITÁRIA
373;30701007;RECURSOS HÍDRICOS
374;30701015;PLANEJAMENTO INTEGRADO DOS RECURSOS HÍDRICOS
375;30701023;TECNOLOGIA E PROBLEMAS SANITÁRIOS DE IRRIGAÇÃO
376;30701031;ÁGUAS SUBTERRÂNEAS E POÇOS PROFUNDOS
377;30701040;CONTROLE DE ENCHENTES E DE BARRAGENS
378;30701058;SEDIMENTOLOGIA
379;30702003;TRATAMENTO DE ÁGUAS DE ABASTECIMENTO E RESIDUÁRIAS
380;30702011;QUÍMICA SANITÁRIA
381;30702020;PROCESSOS SIMPLIFICADOS DE TRATAMENTO DE ÁGUAS
382;30702038;TÉCNICAS CONVENCIONAIS DE TRATAMENTO DE ÁGUAS
383;30702046;TÉCNICAS AVANÇADAS DE TRATAMENTO DE ÁGUAS
384;30702054;ESTUDOS E CARACTERIZAÇÃO DE EFLUENTES INDUSTRIAIS
385;30702062;LAY OUT DE PROCESSOS INDUSTRIAIS
386;30702070;RESÍDUOS RADIOATIVOS
387;30702078;TÉCNICAS CONVENCIONAIS DE TRATAMENTO DE ÁGUAS
388;30703000;SANEAMENTO BÁSICO
389;30703018;TÉCNICAS DE ABASTECIMENTO DA ÁGUA
390;30703026;DRENAGEM DE ÁGUAS RESIDUÁRIAS
391;30703034;DRENAGEM URBANA DE ÁGUAS PLUVIAIS
392;30703042;RESÍDUOS SÓLIDOS, DOMÉSTICOS E INDUSTRIAIS
393;30703050;LIMPEZA PÚBLICA
394;30703069;INSTALAÇÕES HIDRÁULICO-SANITÁRIAS
395;30704006;SANEAMENTO AMBIENTAL
396;30704014;ECOLOGIA APLICADA À ENGENHARIA SANITÁRIA
397;30704022;MICROBIOLOGIA APLICADA E ENGENHARIA SANITÁRIA
398;30704030;PARASITOLOGIA APLICADA À ENGENHARIA SANITÁRIA
399;30704049;QUALIDADE DO AR, DAS ÁGUAS E DO SOLO
400;30704057;CONTROLE DA POLUIÇÃO
401;30704065;LEGISLAÇÃO AMBIENTAL
402;31000002;ENGENHARIA DE TRANSPORTES
403;31001009;PLANEJAMENTO DE TRANSPORTES
404;31001017;PLANEJAMENTO E ORGANIZAÇÃO DO SISTEMA DE TRANSPORTE
405;31001025;ECONOMIA DOS TRANSPORTES
406;31002005;VEÍCULOS E EQUIPAMENTOS DE CONTROLE
407;31002013;VIAS DE TRANSPORTE
408;31002021;VEÍCULOS DE TRANSPORTES
409;31002030;ESTAÇÃO DE TRANSPORTE
410;31002048;EQUIPAMENTOS AUXILIARES E CONTROLES
411;31003001;OPERAÇÕES DE TRANSPORTES
412;31003010;ENGENHARIA DE TRÁFEGO
413;31003028;CAPACIDADE DE VIAS DE TRANSPORTE
414;31003036;OPERAÇÃO DE SISTEMAS DE TRANSPORTE
415;30200008;ENGENHARIA DE MINAS
416;30201004;PESQUISA MINERAL
417;30201012;CARACTERIZAÇÃO DO MINÉRIO
418;30201020;DIMENSIONAMENTO DE JAZIDAS
419;30202000;LAVRA
420;30202019;LAVRA A CÉU ABERTO
421;30202027;LAVRA DE MINA SUBTERRÂNEA
422;30202035;EQUIPAMENTOS DE LAVRA
423;30203007;TRATAMENTO DE MINÉRIOS
424;30203015;MÉTODOS DE CONCENTRAÇÃO E ENRIQUECIMENTOS DE MINÉRIOS
425;30203023;EQUIPAMENTOS DE BENEFICIAMENTO DE MINÉRIOS
426;30300002;ENGENHARIA DE MATERIAIS E METALÚRGICA
427;30301009;INSTALAÇÕES E EQUIPAMENTOS METALÚRGICOS
428;30301017;INSTALAÇÕES METALÚRGICAS
429;30301025;EQUIPAMENTOS METALÚRGICOS
430;30302005;METALURGIA EXTRATIVA
431;30302013;AGLOMERAÇÃO
432;30302021;ELETROMETALURGIA
433;30302030;HIDROMETALURGIA
434;30302048;PIROMETALURGIA
435;30302056;TRATAMENTO DE MINÉRIOS
436;30303001;METALURGIA DE TRANSFORMAÇÃO
437;30303010;CONFORMAÇÃO MECÂNICA
438;30303028;FUNDIÇÃO
439;30303036;METALURGIA DE PÓ
440;30303044;RECOBRIMENTOS
441;30303052;SOLDAGEM
442;30303060;TRATAMENTO TÉRMICO, MECÂNICOS E QUÍMICOS
443;30303079;USINAGEM
444;30304008;METALURGIA FÍSICA
445;30304016;ESTRUTURA DOS METAIS E LIGAS
446;30304024;PROPRIEDADES FÍSICAS DOS METAIS E LIGAS
447;30304032;PROPRIEDADES MECÂNICAS DOS METAIS E LIGAS
448;30304040;TRANSFORMAÇÃO DE FASES
449;30304059;CORROSÃO
450;30305004;MATERIAIS NÃO-METÁLICOS
451;30305012;EXTRAÇÃO E TRANSFORMAÇÃO DE MATERIAIS
452;30305020;CERÂMICOS
453;30305039;MATERIAIS CONJUGADOS NÃO-METÁLICOS
454;30305047;POLÍMEROS,  APLICAÇÕES
455;30600006;ENGENHARIA QUÍMICA
456;30601002;PROCESSOS INDUSTRIAIS DE ENGENHARIA QUÍMICA
457;30601010;PROCESSOS BIOQUÍMICOS
458;30601029;PROCESSOS ORGÂNICOS
459;30601037;PROCESSOS INORGÂNICOS
460;30602009;OPERAÇÕES INDUSTRIAIS E EQUIPAMENTOS PARA ENG. QUÍMICA
461;30602017;REATORES QUÍMICOS
462;30602025;OPERAÇÕES CARACTERÍSTICAS DE PROCESSOS BIOQUÍMICOS
463;30602033;OPERAÇÕES DE SEPARAÇÃO E MISTURA
464;30603005;TECNOLOGIA QUÍMICA
465;30603013;BALANÇOS GLOBAIS DE MATÉRIA E ENERGIA
466;30603021;ÁGUA
467;30603030;ÁLCOOL
468;30603048;ALIMENTOS
469;30603056;BORRACHAS
470;30603064;CARVÃO
471;30603072;CERÂMICA
472;30603080;CIMENTO
473;30603099;COURO
474;30603102;DETERGENTES
475;30603110;FERTILIZANTES
476;30603129;MEDICAMENTOS
477;30603137;METAIS NÃO-FERROSOS
478;30603145;ÓLEOS
479;30603153;PAPEL E CELULOSE
480;30603161;PETRÓLEO E PETROQUÍMICA
481;30603170;POLÍMEROS
482;30603188;PRODUTOS NATURAIS
483;30603196;TÉXTEIS
484;30603200;TRATAMENTOS E APROVEITAMENTOS DE REJEITOS
485;30603218;XISTO
486;30900000;ENGENHARIA NUCLEAR
487;30901006;APLICAÇÕES DE RADIOISÓTOPOS
488;30901014;PRODUÇÃO DE RADIOISÓPOTOS
489;30901022;APLICAÇÕES INDUSTRIAIS DE RADIOISÓPOTOS
490;30901030;INSTRUMENTAÇÃO PARA MEDIDA E CONTROLE DE RADIAÇÃO
491;30902002;FUSÃO CONTROLADA
492;30902010;PROCESSOS INDUSTRIAIS DA FUSÃO CONTROLADA
493;30902029;PROBLEMAS TECNOLÓGICOS DA FUSÃO CONTROLADA
494;30903009;COMBUSTÍVEL NÚCLEAR
495;30903017;EXTRAÇÃO DE COMBUSTÍVEL NÚCLEAR
496;30903025;CONVERSÃO, ENRIQUECIMENTO E FABRICAÇÃO DE COMBUST. NÚCLEAR
497;30903033;REPROCESSAMENTO DO COMBUSTÍVEL NÚCLEAR
498;30903041;REJEITOS DE COMBUSTÍVEL NÚCLEAR
499;30904005;TECNOLOGIA DOS REATORES
500;30904013;NÚCLEO DO REATOR
501;30904021;MATERIAIS NUCLEARES E BLINDAGEM DE REATORES
502;30904030;TRANSFERÊNCIA DE CALOR EM REATORES
503;30904048;GERAÇÃO E INTEGRAÇÃO COM SISTEMAS ELÉTRICOS EM REATORES
504;30904056;INSTRUMENTAÇÃO PARA OPERAÇÃO E CONTROLE DE REATORES
505;30904064;SEGURANÇA, LOCALIZAÇÃO E LICENCIAMENTO DE REATORES
506;30904072;ASPECTOS ECONÔMICOS DE REATORES
507;30500001;ENGENHARIA MECÂNICA
508;30501008;FENÔMENOS DE TRANSPORTES
509;30501016;TRANSFERÊNCIA DE CALOR
510;30501024;MECÂNICA DOS FLUÍDOS
511;30501032;DINÂMICA DOS GASES
512;30501040;PRINCÍPIOS VARIACIONAIS E MÉTODOS NUMÉRICOS
